,AIC
3,
4,1366.6337280113944
5,1368.3873729033483
6,1315.076062059428
7,1316.7022197877334
8,1305.40716664144
9,1228.7944711343932
10,1262.794969802392
11,1229.0081032476223
12,1225.3881755051264
13,1224.128841260074
14,1226.4659511489017
15,1229.0308040206264
16,1229.6639420520407
17,1230.595401156001
18,1232.1508411279526
19,1234.3480307433308
20,1235.723435940214
21,1236.3675977861838
22,1235.854150569675
23,1239.6732252384156
24,1241.662765811216
25,1240.2006994838425
26,1244.048259061666
27,1245.0496741092336
28,1243.6198588560474
29,1246.889458059165
30,1248.825661357494
31,1248.725120755733
32,1249.236504316967
33,1252.6678670345839
34,1254.3704505845126
35,1249.8547515053674
36,1258.1933863359463
37,1252.4825590649193
38,1257.8899000767374
39,1257.5069027908596
40,1255.7035883911012
